a,##
segregate,sEgrIg1t
seigneur,sEnj3
seignior,s1nj@
seism,s2z@m
seize,siz
seldom,sEld@m
select,sIlEkt
selenium,sIlin7m
self,sElf
sell,sEl
semantic,sIm{ntIk
semaphore,sEm@f$
semen,simEn
semester,sImEst@
seminar,sEmIn#
seminary,sEmIn@rI
semolina,sEm@lin@
senate,sEnIt
send,sEnd
seneschal,sEnIS@l
senile,sin2l
senior,sinj@
senna,sEn@
sense,sEns
sensitive,sEnsItIv
sentence,sEnt@ns
sentient,sEnS@nt
sentiment,sEntIm@nt
sentinel,sEntIn@l
sentry,sEntrI
sepal,sEp@l
separate,sEpr@t
sepia,sipj@
sepoy,sip4
sepsis,sEpsIs
september,sEptEmb@
septet,sEptEt
septic,sEptIk
sepulchre,sEp@lk@
sepulture,sEp@lJ@
sequel,sikw@l
sequent,sikw@nt
sequester,sIkwEst@
sequin,sikwIn
sequoia,sIkw4@
seraglio,sEr#lI5
seraph,sEr@f
sere,s7
serenade,sEr@n1d
serendipity,sEr@ndIp@tI
serene,sIrin
serf,s3f
serge,s3_
sergeant,s#_@nt
seriatim,s7rI1tIm
series,s7riz
serif,sErIf
serious,s7r7s
sermon,s3m@n
serpent,s3p@nt
serrate,sEr1t
serum,s7r@m
serval,s3v@l
serve,s3v
serviette,s3vIEt
servo,s3v5
sesame,sEs@mI
session,sES@n
set,sEt
sett,sEt
settee,sEti
settle,sEt@l
seven,sEv@n
sever,sEv@
several,sEvr@l
severe,sIv7
sew,s5
sewer,s9
sex,sEks
sexagenary,sEks{_In@rI
sextant,sEkst@nt
sextette,sEkstEt
sextuplet,sEkstjUpl@t
shabby,S{bI
shack,S{k
shackle,S{k@l
shad,S{d
shaddock,S{d@k
shade,S1d
shadow,S{d5
shaft,S#ft
shag,S{g
shah,S#
shake,S1k
shako,S{k5
shale,S1l
shall,S{l
shallop,S{l@p
shallot,S@lQt
shallow,S{l5
sham,S{m
shaman,S{m@n
shamble,S{mb@l
shame,S1m
shammy,S{mI
shampoo,S{mpu
shandy,S{ndI
shank,S{Nk
shanty,S{ntI
shape,S1p
shard,S#d
share,S8
shark,S#k
sharp,S#p
shatter,S{t@
shave,S1v
shawl,S$l
shay,S1
she,Si
sheaf,Sif
shear,S7
sheath,SiT
shebeen,SIbin
shed,Sid
sheen,Sin
sheep,Sip
sheer,S7
sheet,Sit
sheikh,S1k
sheila,Sil@
shekel,SEk@l
sheldrake,SEldr1k
shelf,SElf
shell,Sil
shellac,S@l{k
shelter,SElt@
shenanigan,SIn{nIg@n
sherbet,S3b@t
sherd,S3d
sheriff,SErIf
sherry,SErI
shew,S5
shibboleth,SIb@lET
shield,Sild
shift,SIft
shilling,SIlIN
shimmer,SIm@
shin,SIn
shindig,SIndIg
shindy,SIndI
shine,S2n
shingle,SINg@l
shinny,SInI
ship,SIp
shire,S2@
shirk,S3k
shirr,S3
shirt,S3t
shit,SIt
shiver,SIv@
shoal,S5l
shock,SQk
shoddy,SQdI
shoe,Su
shogun,S5gVn
shoo,Su
shoot,Sut
shop,SQp
shore,S$
short,S$t
shot,SQt
should,SUd
shoulder,S5ld@
shout,S6t
shove,SVv
shovel,SVv@l
show,S5
shower,S6@
shrapnel,Sr{pn@l
shred,SrEd
shrew,Sru
shrewd,Srud
shriek,Srik
shrift,SrIft
shrike,Sr2k
shrill,SrIl
shrimp,SrImp
shrine,Sr2n
shrink,SrINk
shrive,Sr2v
shrivel,SrIv@l
shroud,Sr6d
shrub,SrVb
shrug,SrVg
shuck,SVk
shudder,SVd@
shuffle,SVf@l
shun,SVn
shunt,SVnt
shush,SUS
shut,SVt
shuttle,SVt@l
shy,S2
si,si
sib,sIb
sibyl,sIb@l
sic,sIk
sick,sIk
sickle,sIk@l
side,s2d
sidle,s2d@l
siege,si_
sienna,sIEn@
sierra,sI@r@
siesta,sIEst@
sieve,sIv
sift,sIft
sigh,s2
sight,s2t
sign,s2n
signature,sIgn@J@
silent,s2l@nt
silhouette,sIluEt
silica,sIlIk@
silicon,sIlIk@n
silicone,sIlIk5n
silk,sIlk
sill,sIl
sillabub,sIl@bVb
silly,sIlI
silo,s2l5
silt,sIlt
silver,sIlv@
similar,sImIl@
simile,sImIlI
simmer,sIm@
simony,s2m@nI
simoom,sImum
simoon,sImun
simper,sImp@
simple,sImp@l
simulacrum,sImjUl1kr@m
simulate,sImjUl1t
simultaneous,sIm@lt1nj@s
sin,sIn
since,sIns
sincere,sIns7
sine,s2n
sinew,sInju
sing,sIN
singe,sIn_
single,sINg@l
sinister,sInIst@
sink,sINk
sinus,s2n@s
sip,sIp
siphon,s2f@n
sir,s3
sirdar,s3d#
sire,s2@
siren,s2@r@n
sirocco,sIrQk5
sirrah,sIr@
sisal,s2s@l
sister,sIst@
sit,sIt
sitar,sIt#
site,s2t
situate,sItjU1t
six,sIks
size,s2z
sizzle,sIz@l
skate,sk1t
skedaddle,skId{d@l
skeet,skit
skein,sk1n
skeleton,skElIt@n
skep,skEp
sketch,skEJ
skew,skju
ski,ski
skid,skid
skiff,skIf
skiffle,skIf@l
skill,skIl
skillet,skIlIt
skilly,skIlI
skim,skIm
skimp,skImp
skin,skIn
skint,skInt
skip,skIp
skipper,skIp@
skirl,sk3l
skirmish,sk3mIS
skirt,sk3t
skit,skIt
skitter,skIt@
skittle,skIt@l
skive,sk2v
skivvy,skIvI
skua,skju@
skulk,skVlk
skull,skVl
skunk,skVNk
sky,sk2
slab,sl{b
slack,sl{k
slag,sl{g
slake,sl1k
slalom,sl#l@m
slam,sl{m
slander,sl#nd@
slang,sl{N
slant,sl#nt
slap,sl{p
slash,sl{S
slat,sl{t
slate,sl1t
slattern,sl{t@n
slaughter,sl$t@
slave,sl1v
slay,sl1
sled,slEd
sledge,slE_
sleek,slik
sleep,slip
sleet,slit
sleeve,sliv
sleigh,sl1
slender,slEnd@
sleuth,sluT
slew,slu
slice,sl2s
slick,slIk
slide,sl2d
slight,sl2t
slim,slIm
slime,sl2m
sling,slIN
slink,slINk
slip,slIp
slit,slIt
slither,slID@
sliver,slIv@
slob,slQb
sloe,sl5
slog,slQg
slogan,sl5g@n
sloop,slup
slop,slQp
slope,sl5p
slosh,slQS
slot,slQt
sloth,sl5T
slouch,sl6J
slough,sl6
sloven,slVv@n
slow,sl5
sludge,slV_
slug,slVg
sluice,slus
slum,slVm
slumber,slVmb@
slump,slVmp
slur,sl3
slurp,sl3p
slurry,slVrI
slush,slVS
slut,slVt
sly,sl2
smack,sm{k
small,sm$l
smart,sm#t
smash,sm{S
smear,sm7
smell,smEl
smelt,smElt
smilax,sm2l{ks
smile,sm2l
smirch,sm3J
smirk,sm3k
smite,sm2t
smith,smIT
smock,smQk
smoke,sm5k
smooch,smuJ
smooth,smuD
smother,smVD@
smoulder,sm5ld@
smudge,smV_
smug,smVg
smuggle,smVg@l
smut,smVt
snack,sn{k
snaffle,sn{f@l
snag,sn{g
snail,sn1l
snake,sn1k
snap,sn{p
snare,sn8
snarl,sn#l
snatch,sn{J
sneak,snik
sneer,sn7
sneeze,sniz
snick,snIk
snide,sn2d
sniff,snIf
sniffle,snIf@l
snifter,snIft@
snigger,snIg@
snip,snIp
snipe,sn2p
snitch,snIJ
snivel,snIv@l
snob,snQb
snog,snQg
snood,snud
snook,snuk
snooker,snuk@
snoop,snup
snoot,snut
snooze,snuz
snore,sn$
snorkel,sn$k@l
snort,sn$t
snot,snQt
snout,sn6t
snow,sn5
snub,snVb
snuff,snVf
snuffle,snVf@l
snug,snVg
so,s5
soak,s5k
soap,s5p
soar,s$
sob,sQb
sober,s5b@
sobriquet,s5brIk1
soccer,sQk@
social,s5S@l
society,s@s2@tI
sock,sQk
socket,sQkIt
sod,sQd
soda,s5d@
sodden,sQd@n
sofa,s5f@
soft,sQft
soh,s5
soil,s4l
sojourn,sQ_3n
sol,sQl
solace,sQl@s
solar,s5l@
solder,sQld@
soldier,s5l_@
sole,s5l
solemn,sQl@m
solicit,s@lIsIt
solid,sQlId
solidus,sQlId@s
soliloquy,s@lIl@kwI
solitary,sQlIt@rI
solitude,sQlItjud
solo,s5l5
solstice,sQlstIs
soluble,sQljUb@l
solve,sQlv
somatic,s5m{tIk
sombre,sQmb@
sombrero,sQmbr8r5
some,sVm
somersault,sVm@s$lt
son,sVn
sonant,s5n@nt
sonar,s5n#
sonata,s@n#t@
song,sQN
sonic,sQnIk
sonnet,sQnIt
sonsy,sQnsI
soon,sun
soot,sUt
soothe,suD
sop,sQp
sophomore,sQf@m$
soprano,s@pr#n5
sorbet,s$b1
sorcery,s$s@rI
sordid,s$dId
sore,s$
sorghum,s$g@m
sorority,s@rQrItI
sorrel,sQr@l
sorrow,sQr5
sorry,sQrI
sort,s$t
sot,sQt
soubriquet,subrIk1
sough,s6
soul,s5l
sound,s6nd
soup,sup
sour,s6@
source,s$s
souse,s6s
soutane,sut#n
south,s6T
sovereign,sQvrIn
soviet,s5v7t
sow,s5
soy,s4
soya,s4@
spa,sp#
space,sp1s
spade,sp1d
spam,sp{m
span,sp{n
spangle,sp{Ng@l
spaniel,sp{nj@l
spank,sp{Nk
spar,sp#
spare,sp8
spark,sp#k
sparrow,sp{r5
sparse,sp#s
spasm,sp{z@m
spat,sp{t
spate,sp1t
spatter,sp{t@
spatula,sp{tjUl@
spavin,sp{vIn
spawn,sp$n
spay,sp1
speak,spik
spear,sp7
special,spES@l
specie,spiSi
species,spiSiz
specify,spEsIf2
specimen,spEsIm@n
speck,spEk
speckle,spEk@l
spectacle,spEkt@k@l
spectre,spEkt@
spectrum,spEktr@m
speculate,spEkjUl1t
speech,spiJ
speed,spid
spell,spEl
spelt,spElt
spend,spEnd
spent,spEnt
sperm,sp3m
spew,spju
sphagnum,sf{gn@m
sphere,sf7
sphincter,sfINkt@
sphinx,sfINks
spice,sp2s
spider,sp2d@
spiel,Spil
spigot,spIg@t
spike,sp2k
spikenard,sp2kn#d
spill,spIl
spin,spIn
spinach,spInI_
spindle,spInd@l
spine,sp2n
spinet,spInEt
spinnaker,spIn@k@
spinney,spInI
spire,sp2@
spirit,spIrIt
spit,spIt
spite,sp2t
spittoon,spItun
spiv,spIv
splash,spl{S
splat,spl{t
splay,spl1
spleen,splin
splendid,splEndId
splice,spl2s
splint,splInt
splinter,splInt@
split,splIt
splodge,splQ_
splotch,splQJ
splurge,spl3_
splutter,splVt@
spoil,sp4l
spoke,sp5k
spoliate,sp5lI1t
spondee,spQndi
sponge,spVn_
sponsor,spQns@
spontaneous,spQnt1nj@s
spoof,spuf
spook,spuk
spool,spul
spoon,spun
spoor,sp$
sporadic,sp@r{dIk
spore,sp$
sporran,spQr@n
sport,sp$t
spot,spQt
spouse,sp6z
spout,sp6t
sprain,spr1n
sprat,spr{t
sprawl,spr$l
spray,spr1
spread,sprEd
spree,spri
sprig,sprIg
spring,sprIN
sprinkle,sprINk@l
sprint,sprInt
sprit,sprIt
sprite,spr2t
sprocket,sprQkIt
sprout,spr6t
spruce,sprus
spry,spr2
spud,spVd
spume,spjum
spunk,spVNk
spur,sp3
spurious,spj9r7s
spurn,sp3n
spurt,sp3t
sputnik,spUtnIk
sputter,spVt@
sputum,spjut@m
spy,sp2
squab,skwQb
squabble,skwQb@l
squad,skwQd
squadron,skwQdr@n
squalid,skwQlId
squall,skw$l
squander,skwQnd@
square,skw8
squash,skwQS
squat,skwQt
squaw,skw$
squawk,skw$k
squeak,skwik
squeal,skwil
squeegee,skwi_i
squeeze,skwiz
squelch,skwElJ
squib,skwIb
squid,skwId
squiggle,skwIg@l
squint,skwInt
squire,skw2@
squirm,skw3m
squirrel,skIr@l
squirt,skw3t
stab,st{b
stable,st1b@l
stack,st{k
stadium,st1dj@m
staff,st#f
stag,st{g
stage,st1_
stagger,st{g@
stagnate,st{gn1t
staid,st1d
stain,st1n
stair,st8
stake,st1k
stale,st1l
stalk,st$k
stall,st$l
stallion,st{lj@n
stalwart,st$lw@t
stamen,st1mEn
stamina,st{mIn@
stammer,st{m@
stamp,st{mp
stampede,st{mpid
stance,st{ns
stanch,st#nJ
stanchion,st#nS@n
stand,st{nd
standard,st{nd@d
stanza,st{nz@
staple,st1p@l
star,st#
starch,st#J
stare,st8
stark,st#k
starkers,st#k@z
starling,st#lIN
start,st#t
starve,st#v
stash,st{S
state,st1t
station,st1S@n
statistic,st@tIstIk
statistics,st@tIstIks
statue,st{Ju
stature,st{J@
status,st1t@s
statute,st{tjut
staunch,st$nJ
stave,st1v
stay,st1
stead,stEd
steady,stEdI
steak,st1k
steal,stil
steam,stim
steed,stid
steel,stil
steep,stip
steeple,stip@l
steer,st7
stein,st2n
stele,stilI
stellar,stEl@
stem,stEm
stench,stEnJ
stencil,stEns@l
step,stEp
steppe,stEp
stereo,stErI5
sterile,stEr2l
sterling,st3lIN
stern,st3n
sternum,st3n@m
steroid,st7r4d
stet,stEt
stetson,stEts@n
stevedore,stiv@d$
stew,stju
steward,stjU@d
stick,stIk
stiff,stIf
stifle,st2f@l
stigma,stIgm@
stigmata,stIgm@t@
stile,st2l
stiletto,stIlEt5
still,stIl
stilt,stIlt
stimulus,stImjUl@s
sting,stIN
stingo,stINg5
stink,stINk
stint,stInt
stipend,st2pEnd
stipple,stIp@l
stipulate,stIpjUl1t
stir,st3
stirrup,stIr@p
stitch,stIJ
stoat,st5t
stock,stQk
stodge,stQ_
stoep,stup
stoic,st5Ik
stoke,st5k
stole,st5l
stolid,stQlId
stomach,stVm@k
stomp,stQmp
stone,st5n
stooge,stu_
stool,stul
stoop,stup
stop,stQp
store,st$
storey,st$rI
stork,st$k
storm,st$m
story,st$rI
stoup,stup
stout,st6t
stove,st5v
stow,st5
straddle,str{d@l
strafe,str#f
straggle,str{g@l
straight,str1t
strain,str1n
strait,str1t
strand,str{nd
strange,str1n_
strangle,str{Ng@l
strap,str{p
stratagem,str{t@_@m
strategy,str{tI_I
stratum,str#t@m
straw,str$
stray,str1
streak,strik
stream,strim
street,strit
stress,strEs
stretch,strEJ
strew,stru
striate,str21t
stricken,strIk@n
strict,strIkt
stride,str2d
strident,str2d@nt
stridulate,strIdjUl1t
strife,str2f
strike,str2k
string,strIN
stringent,strIn_@nt
strip,strIp
stripe,str2p
strive,str2v
stroke,str5k
stroll,str5l
strong,strQN
strontium,strQnt7m
strop,strQp
strophe,str5fI
stroppy,strQpI
structure,strVkJ@
struggle,strVg@l
strum,strVm
strumpet,strVmpIt
strut,strVt
strychnine,strIknin
stub,stVb
stubble,stVb@l
stubborn,stVb@n
stucco,stVk5
stud,stVd
studio,stjudI5
study,stVdI
stuff,stVf
stumble,stVmb@l
stump,stVmp
stun,stVn
stunt,stVnt
stupid,stjupId
stupor,stjup@
sturdy,st3dI
sturgeon,st3_@n
stutter,stVt@
sty,st2
style,st2l
stylus,st2l@s
stymie,st2mI
styrene,st2rin
suasion,sw1Z@n
suave,sw#v
sub,sVb
subdue,s@bdju
subfusc,sVbfVsk
subject,s@b_Ekt
subjugate,sVb_Ug1t
subjunctive,s@b_VNktIv
sublime,s@bl2m
subliminal,sVblImIn@l
submit,s@bmIt
suborn,sVb$n
subpoena,s@bpin@
subside,s@bs2d
subsidy,sVbsIdI
substance,sVbst@ns
substitute,sVbstItjut
subtle,sVt@l
subtract,s@btr{kt
suburb,sVb3b
succeed,s@ksid
success,s@ksEs
succinct,s@ksINkt
succour,sVk@
succubus,sVkjUb@s
succulent,sVkjUl@nt
succumb,s@kVm
such,sVJ
suck,sVk
suckle,sVk@l
sucrose,sukr5s
sudden,sVd@n
sue,su
suede,sw1d
suet,sUIt
suffer,sVf@
suffice,s@f2s
suffocate,sVf@k1t
suffragan,sVfr@g@n
suffuse,s@fjuz
sugar,SUg@
suggest,s@_Est
suicide,sUIs2d
suit,sut
suite,swit
sulk,sVlk
sullen,sVl@n
sully,sVlI
sulphonamide,sVlfQn@m2d
sulphur,sVlf@
sultan,sVlt@n
sultana,s@lt#n@
sultry,sVltrI
sum,sVm
sumac,sum{k
summary,sVm@rI
summat,sVm@t
summer,sVm@
summit,sVmIt
summon,sVm@n
summons,sVm@nz
sump,sVmp
sumptuary,sVmptj9rI
sumptuous,sVmpJ9s
sun,sVn
sundae,sVnd1
sunder,sVnd@
sundry,sVndrI
sup,sVp
super,sup@
superb,sup3b
superior,sup7r7
superstition,sup@stIS@n
supine,sup2n
supplant,s@pl#nt
supple,sVp@l
supplement,sVplImEnt
supplicate,sVplIk1t
supply,s@pl2
support,s@p$t
suppose,s@p5z
suppository,s@pQzIt@rI
suppress,s@prEs
suppurate,sVpj9r1t
supra,supr@
supreme,sUprim
surd,s3d
sure,S$
surf,s3f
surfeit,s3fIt
surge,s3_
surgeon,s3_@n
surly,s3lI
surmise,s3m2z
surplice,s3plIs
surprise,s@pr2z
surrender,s@rEnd@
surrey,sVrI
surrogate,sVr@g1t
surround,s@r6nd
surveillance,s3v1l@ns
survey,s@v1
survive,s@v2v
suspect,s@spEkt
suspend,s@spEnd
suspense,s@spEns
sustain,s@st1n
suture,suJ@
swab,swQb
swaddle,swQd@l
swag,sw{g
swagger,sw{g@
swain,sw1n
swallow,swQl5
swami,sw#mI
swamp,swQmp
swan,swQn
swank,sw{Nk
swap,swQp
sward,sw$d
swarf,sw$f
swarm,sw$m
swarthy,sw$DI
swash,swQS
swat,swQt
swatch,swQJ
swath,sw$T
sway,sw1
swear,sw8
sweat,swEt
swede,swid
sweep,swip
sweet,swit
swell,swEl
swelter,swElt@
swerve,sw3v
swift,swIft
swig,swIg
swill,swIl
swim,swIm
swindle,swInd@l
swine,sw2n
swing,swIN
swinge,swIn_
swipe,sw2p
swirl,sw3l
swish,swIS
switch,swIJ
swivel,swIv@l
swiz,swIz
swizzle,swIz@l
swoon,swun
swoop,swup
sword,s$d
sworn,sw$n
swot,swQt
sycamore,sIk@m$
syllable,sIl@b@l
syllabus,sIl@b@s
sylph,sIlf
sylvan,sIlv@n
symbiosis,sImbI5sIs
symbol,sImb@l
symmetry,sIm@trI
sympathy,sImp@TI
symphony,sImf@nI
symposium,sImp5zj@m
symptom,sImpt@m
synagogue,sIn@gQg
synchronous,sINkr@n@s
syncope,sINk@pI
syndic,sIndIk
syndrome,sIndr5m
synod,sIn@d
synonym,sIn@nIm
synopsis,sInQpsIs
syntax,sInt{ks
synthesis,sInT@sIs
syphilis,sIfIlIs
syringa,sIrINg@
syringe,sIrIn_
syrup,sIr@p
system,sIst@m
tab,t{b
tabard,t{b@d
tabby,t{bI
tabernacle,t{b3n{k@l
table,t1b@l
tableau,t{bl5
tabloid,t{bl4d
taboo,t@bu
tabor,t1b@
tacit,t{sIt
taciturn,t{sIt3n
tack,t{k
tackle,t{k@l
tact,t{kt
tactic,t{ktIk
tactile,t{kt2l
tactual,t{ktj9l
tadpole,t{dp5l
taffeta,t{fIt@
taffrail,t{fr1l
taffy,t{fI
tag,t{g
tail,t1l
tailor,t1l@
taint,t1nt
take,t1k
talc,t{lk
talcum,t{lk@m
tale,t1l
talent,t{l@nt
talk,t$k
tall,t$l
tallow,t{l5
tally,t{lI
talon,t{l@n
talus,t1l@s
tamale,t@m#lI
tamarind,t{m@rInd
tamarisk,t{m@rIsk
tambour,t{mb9
tame,t1m
tammy,t{mI
tamp,t{mp
tampon,t{mpQn
tan,t{n_@nt
tandem,t{nd@m
tang,t{N
tangent,t{n_@nt
tangible,t{n_@b@l
tangle,t{Ng@l
tango,t{Ng5
tank,t{Nk
tankard,t{Nk@d
tannin,t{nIn
tannoy,t{n4
tansy,t{nzI
tantalus,t{nt@l@s
tantamount,t{nt@m6nt
tantrum,t{ntr@m
tap,t{p
tape,t1p
taper,t1p@
tapestry,t{pIstrI
tapioca,t{pI5k@
tapir,t1p@
tar,t#
tarantella,t{r@ntEl@
tarantelle,t{r@ntEl
tarantula,t@r{ntjUl@
tarboosh,t#buS
tardy,t#dI
tare,t8
target,t#gIt
tariff,t{rIf
tarn,t#n
tarnish,t#nIS
taro,t#r5
tarot,t{r5
tarpaulin,t#p$lIn
tarpon,t#pQn
tarragon,t{r@g@n
tarry,t#rI
tarsus,t#s@s
tart,t#t
tartan,t#t@n
tartar,t#t@
task,t#sk
tassel,t{s@l
taste,t1st
tat,t{t
tatas,t{t#z
tattle,t{t@l
tattoo,t@tu
taunt,t$nt
taut,t$t
tavern,t{v@n
tawdry,t$drI
tawny,t$nI
tawse,t$z
tax,t{ks
taxi,t{ksI
tea,ti
teach,tiJ
teak,tik
teal,til
team,tim
tear,t8
tease,tiz
teasel,tiz@l
teat,tit
tech,tEk
technic,tEknIk
technique,tEknik
teddy,tEdI
tedium,tidj@m
tee,ti
teem,tim
teens,tinz
teensy,tinzI
teeny,tinI
teeter,tit@
teg,tEg
tegument,tEgjUm@nt
telex,tElEks
tell,tEl
telpher,tElf@
temerity,tImEr@tI
temper,tEmp@
tempera,tEmp@r@
temperature,tEmpr@J@
tempest,tEmpIst
template,tEmpl1t
temple,tEmp@l
tempo,tEmp5
temporal,tEmp@r@l
temporary,tEmp@r@rI
temporize,tEmp@r2z
tempt,tEmpt
ten,tEn
tenant,tEn@nt
tench,tEnS
tend,tEnd
tender,tEnd@
tendon,tEnd@n
tendril,tEndr@l
tenement,tEn@m@nt
tenet,tEnIt
tennis,tEnIs
tenon,tEn@n
tenor,tEn@
tense,tEns
tent,tEnt
tentacle,tEnt@k@l
tentative,tEnt@tIv
tenter,tEnt@
tenuous,tEnj9s
tenure,tEnj9
tepee,tipi
tepid,tEpId
term,t3m
termagant,t3m@g@nt
terminate,t3mIn1t
terminus,t3mIn@s
termite,t3m2t
tern,t3n
terrace,tEr@s
terracotta,tEr@kQt@
terrain,tEr1n
terrapin,tEr@pIn
terrible,tEr@b@l
terrier,tEr7
territory,tEr@t@rI
terror,tEr@
terry,tErI
terse,t3s
test,tEst
testament,tEst@m@nt
testatrix,tEst1trIks
testicle,tEstIk@l
testimony,tEstIm@nI
testis,tEstIs
testy,tEstI
tetanus,tEt@n@s
tetchy,tEJI
tether,tED@
text,tEkst
textile,tEkst2l
texture,tEksJ@
than,D{n
thane,T1n
thank,T{Nk
that,T{t
thatch,T{J
thaw,T$
the,D@
theatre,T7t@
thee,Di
theft,TEft
their,D8
them,DEm
theme,Tim
then,DEn
thence,DEns
theorem,T7r@m
theory,T7rI
theosophy,TIQs@fI
therapeutic,TEr@pjutIk
therapy,TEr@pI
there,D8r@
therm,T3m
thermos,T3mQs
thermostat,T3m5st{t
thesaurus,TIs$r@s
these,Diz
thesis,TisIs
thew,Tju
they,D1
thick,TIk
thief,Tif
thigh,T2
thimble,TImb@l
thin,TIn
thine,D2n
thing,TIN
think,TINk
third,T3d
thirst,T3st
this,DIs
thistle,TIs@l
thither,DID@
thole,T5l
thong,TQN
thorax,T$r{ks
thorn,T$n
thorough,TVr@
those,D5z
thou,T6
though,D5
thought,T$t
thousand,T6z@nd
thrall,Tr$l
thrash,Tr{S
thread,TrEd
threat,TrEt
three,Tri
threnody,TrEn@dI
thresh,TrES
threshold,TrESh5ld
thrice,Tr2s
thrift,TrIft
thrill,TrIl
thrive,Tr2v
throat,Tr5t
throb,TrQb
thrombus,TrQmb@s
throne,Tr5n
throng,TrQN
throstle,TrQs@l
throttle,TrQt@l
through,Tru
throw,Tr5
thru,Tru
thrum,TrVm
thrush,TrVS
thrust,TrVst
thud,TVd
thug,TVg
thumb,TVm
thump,TVmp
thunder,TVnd@
thurible,Tj9rIb@l
thus,DVs
thwack,Tw{k
thwart,Tw$t
thy,D2
thyme,t2m
thyroid,T2r4d
ti,ti2
tiara,tI#r@
tibia,tIb7
tic,tIk
tick,tIk
ticket,tIkIt
tickle,tIk@l
tiddler,tIdl@
tiddley,tIdlI
tiddly,tId@lI
tide,t2d
tidy,t2dI
tie,t2
tier,t7
tiff,tIf
tig,tIg
tiger,t2g@
tight,t2t
tile,t2l
till,tIl
tilt,tIlt
timber,tImb@
timbrel,tImbr@l
time,t2m
timid,tImId
timothy,tIm@TI
timpani,tImp@nI
tin,tIn
tincture,tINkJ@
tinder,tInd@
tine,t2n
ting,tIN
tinge,tIn_
tingle,tINg@l
tinker,tINk@
tinkle,tINk@l
tinsel,tIns@l
tint,tInt
tiny,t2nI
tip,tIp
tipple,tIp@l
tipsy,tIpsI
tirade,t2r1d
tire,t2@
tissue,tISu
tit,tIt
titan,t2t@n
titfer,tItf@
tithe,t2D
titillate,tItIl1t
titivate,tItIv1t
title,t2t@l
titter,tIt@
tittle,tIt@l
tizzy,tIzI
to,tu
toad,t5d
toast,t5st
tobacco,t@b{k5
toby,t5bI
tocsin,tQksIn
tod,tQd
toddle,tQd@l
toddy,tQdI
toe,t5
toff,tQf
toffee,tQfI
toga,t5g@
together,t@gED@
toggle,tQg@l
toil,t4l
toilet,t4lIt
token,t5k@n
tolerate,tQl@r1t
toll,t5l
tom,tQm
tomahawk,tQm@h$k
tomato,t@m#t5
tomb,tum
tome,t5m
tomtom,tQmtQm
ton,tVn
tone,t5n
tongue,tVN
tonne,tVn
tonsil,tQns@l
tonsure,tQnS@
too,tu
tool,tul
toot,tut
tooth,tuT
toots,tuts
tootsie,tUtsI
top,tQp
topaz,t5p{z
tope,t5p
topi,t5pI
topic,tQpIk
toque,t5k
tor,t$
torch,t$J
toreador,tQr7d$
torment,t$mEnt
tornado,t$n1d5
torpedo,t$pid5
torpid,t$pId
torpor,t$p@
torque,t$k
torrent,tQr@nt
torrid,tQrId
torsion,t$S@n
torso,t$s5
tort,t$t
tortilla,t$tij@
tortoise,t$t@s
torture,t$J@
tosh,tQS
toss,tQs
tot,tQt
total,t5t@l
tote,t5t
totem,t5t@m
totter,tQt@
toucan,tuk@n
touch,tVJ
tough,tVf
toupee,tup1
tour,t9
tournament,t$n@m@nt
tourney,t9nI
tourniquet,t9nIk1
tousle,t6z@l
tout,t6t
tow,t6
towel,t6@l
tower,t6@
town,t6n
toxaemia,tQksim7
toxin,tQksIn
toy,t4
trace,tr1s
trachea,tr@ki@
trachoma,tr@k5m@
track,tr{k
tract,tr{kt
traction,tr{kS@n
tractor,tr{kt@
trad,tr{d
trade,tr1d
tradition,tr@dIS@n
traduce,tr@djus
traffic,tr{fIk
tragedy,tr{_@dI
trail,tr1l
train,tr1n
traipse,tr1ps
trait,tr1
traitor,tr1t@
trajectory,tr@_Ekt@rI
tram,tr{m
trammel,tr{m@l
tramp,tr{mp
trampoline,tr{mp@lin
trance,tr#ns
tranquil,tr{NkwIl
transmit,tr{nzmIt
transom,tr{ns@m
transpire,tr{nsp2@
transport,tr{nsp$t
trap,tr{p
trapeze,tr@piz
trash,tr{S
trauma,tr$m@
travail,tr{v1l
travel,tr{v@l
traverse,tr{v@s
travesty,tr{v@stI
trawl,tr$l
tray,tr1
treachery,trEJ@rI
treacle,trik@l
tread,trEd
treadle,trEd@l
treason,triz@n
treasure,trEZ@
treat,trit
treaty,tritI
treble,trEb@l
tree,tri
trek,trEk
trellis,trElIs
tremble,trEmb@l
tremendous,trImEnd@s
tremolo,trEm@l5
tremor,trEm@
trench,trEnJ
trend,trEnd
trepan,trIp{n
trephine,trIfin
trespass,trEsp@s
tress,trEs
trestle,trEs@l
trews,truz
triad,tr2{d
tribe,tr2b
tribulation,trIbjUl1S@n
tribune,trIbjun
tribute,trIbjut
trice,tr2s
trick,trIk
trickle,trIk@l
trifle,tr2f@l
trigger,trIg@
trilby,trIlbI
trill,trIl
trim,trIm
trinket,trINkIt
trio,tri5
trip,trIp
tripe,tr2p
tripos,tr2pQs
triptych,trIptIk
trireme,tr2rim
trisect,tr2sEkt
trite,tr2t
triumph,tr2@mf
triumvir,trIVmv@
triune,tr2jun
trivet,trIvIt
trivia,trIv7
trochee,tr5ki
troglodyte,trQgl@d2t
troll,tr5l
trolley,trQlI
trollop,trQl@p
trombone,trQmb5n
troop,trup
trope,tr5p
trophy,tr5fI
